"ID","year","bus","LR","rail","cars","oth","total"
"0001-B",2000,98848.8,447.1,0,2019.8,1714.5,103030.2
"0001-B",2001,97003.9,374.3,0,1936.4,1685.8,101000.4
"0002-B",2000,8512.2,0,0,66.6,431,9009.8
"0002-B",2001,8370.5,0,0,85.5,431.2,8887.2
"0003-B",2000,13557,0,0,577.5,462.1,14596.6
"0003-B",2001,13483.7,0,0,631.8,396,14511.5
"0005-A",2000,1493.2,0,0,0,60.1,1553.3
"0005-A",2001,1559.4,0,0,0,57.4,1616.8
"0006-B",2000,1212.4,0,0,0,66.7,1279.1
"0006-B",2001,1283.5,0,0,0,72.2,1355.7
"0007-B",2000,8076.4,0,0,0,101.4,8177.8
"0007-B",2001,8623.6,0,0,0,110.2,8733.8
"0008-B",2000,61818.8,24362.8,0,0,735.9,86917.5
"0008-B",2001,65427.9,24976.6,0,0,781.9,91186.4
"0011-A",2000,1069.1,0,0,0,25.9,1095
"0011-A",2001,1107.4,0,0,0,28.8,1136.2
"0012-B",2000,3357,0,0,61.1,173,3591.1
"0012-B",2001,3339.9,0,0,73.3,180.7,3593.9
"0016-B",2000,268.3,0,0,0,36.9,305.2
"0016-B",2001,275.8,0,0,0,39.2,315
"0018-B",2000,3806.8,0,0,508.2,330.5,4645.5
"0018-B",2001,2855.2,0,0,539.6,373.9,3768.7
"0019-A",2000,2782.8,0,0,230.1,113.8,3126.7
"0019-A",2001,2509,0,0,252.7,117,2878.7
"0020-B",2000,3270.8,0,0,127.5,468.1,3866.4
"0020-B",2001,3470.8,0,0,132.2,553.7,4156.7
"0021-B",2000,2918.9,0,0,0,159.9,3078.8
"0021-B",2001,2916.7,0,0,0,156.4,3073.1
"0022-A",2000,403.6,0,0,0,31.2,434.8
"0022-A",2001,391.3,0,0,0,41.6,432.9
"0023-B",2000,0,0,0,0,0,0
"0023-B",2001,0,0,0,0,0,0
"0024-A",2000,6565,0,0,66.6,162.1,6793.7
"0024-A",2001,5954.9,0,0,51.3,175,6181.2
"0025-B",2000,4155.6,0,0,0,50.9,4206.5
"0025-B",2001,4421.7,0,0,0,54.4,4476.1
"0028-B",2000,0,0,0,0,190.2,190.2
"0028-B",2001,0,0,0,0,191.6,191.6
"0029-B",2000,7333.5,0,0,729.8,0,8063.3
"0029-B",2001,8293.7,0,0,776.9,0,9070.6
"0033-D",2000,0,0,0,0,163.3,163.3
"0033-D",2001,0,0,0,0,162,162
"0034-B",2000,574.8,0,0,0,77.1,651.9
"0034-B",2001,787.7,0,0,0,61.5,849.2
"0035-C",2000,0,0,0,0,15198,15198
"0035-C",2001,0,0,0,0,15140.3,15140.3
"0040-B",2000,0,0,100.4,0,0,100.4
"0040-B",2001,0,0,494.6,0,0,494.6
"0041-A",2001,0,0,0,0,0,0
"0042-B",2000,66,0,0,0,85.5,151.5
"0042-B",2001,55.1,0,0,0,58.5,113.6
"1",2002,93768.2,367.3,0,1749.2,1632.8,97517.5
"1",2003,94688.9,403.6,0,1793.7,1661.6,98547.8
"1",2004,98250.2,398.6,0,1689,1750.7,102088.5
"1",2005,94608.4,374.3,0,1795.6,1831.4,98609.7
"1",2006,102413.9,0,0,1966.9,1892.7,106273.5
"1",2007,110466.3,0,0,2322,1139.8,113928.1
"1",2008,118278.6,413.3,0,3138.8,1145.5,122976.2
"1",2009,111067.9,451.2,0,3172.7,1142.5,115834.3
"1",2010,109008.9,520.9,0,2930.3,1177.2,113637.3
"1",2011,111995.6,0,714.5,3199.3,1177.1,117086.5
"1",2012,114562.7,0,750.9,3519.3,1119.4,119952.3
"1001",2002,14092.8,0,0,0,37.7,14130.5
"1001",2003,16265.8,0,0,0,740,17005.8
"1001",2004,16439.2,0,0,0,730,17169.2
"1001",2005,18612.7,0,0,0,689.8,19302.5
"1001",2006,19383,0,0,0,681.5,20064.5
"1001",2007,20621,0,0,0,690.4,21311.4
"1001",2008,21061.7,0,0,0,670.4,21732.1
"1001",2009,19819.5,0,0,0,590.9,20410.4
"1001",2010,19544,0,0,114.2,502.7,20160.9
"1001",2011,19463.8,0,0,133.1,508.5,20105.4
"1001",2012,19762.9,0,0,146,560.3,20469.2
"1001-B",2000,15931.9,0,0,0,0,15931.9
"1001-B",2001,14220.8,0,0,0,0,14220.8
"1002",2002,378.4,0,0,0,6.5,384.9
"1002",2003,380.6,0,0,0,14.8,395.4
"1002",2004,383,0,0,0,21.6,404.6
"1002",2005,412.4,0,0,0,11.1,423.5
"1002",2006,444,0,0,0,10.3,454.3
"1002",2007,456.2,0,0,0,11.7,467.9
"1002",2008,475.3,0,0,0,12.1,487.4
"1002",2009,532,0,0,0,11.6,543.6
"1002",2010,446.9,0,0,0,13.7,460.6
"1002",2011,461.6,0,0,0,14.6,476.2
"1002",2012,427.2,0,0,0,14.2,441.4
"1002-A",2000,438.4,0,0,0,6,444.4
"1002-A",2001,379.9,0,0,0,6.9,386.8
"1003",2002,112201.2,73762.9,200549.3,0,2462.4,388975.8
"1003",2003,122629.2,72599,190729.6,0,2647.5,388605.3
"1003",2004,119262,70558.1,197468.2,0,2621.9,389910.2
"1003",2005,138556.9,73792.6,179885,0,2616.4,394850.9
"1003",2006,108707.9,80278,188503.4,0,2771.5,380260.8
"1003",2007,101956,70165.6,182482.6,0,2974.9,357579.1
"1003",2008,106039.4,73804.3,187832.9,0,3041.8,370718.4
"1003",2009,104080.2,70707.2,189267.2,0,3193,367247.6
"1003",2010,111252.7,65471.6,175949.4,0,3386.6,356060.3
"1003",2011,112368.3,74395.6,190261.3,0,3669.2,380694.4
"1003",2012,119746.6,74816,203045,0,4009.1,401616.7
"1003-B",2000,104154.3,73549.3,174676.3,0,2480.3,354860.2
"1003-B",2001,112342.5,75257.8,174226.6,0,2510.3,364337.2
"1004",2002,3064.6,0,0,0,222.9,3287.5
"1004",2003,2719.1,0,0,0,206.2,2925.3
"1004",2004,2610.5,0,0,0,214.1,2824.6
"1004",2005,3020.2,0,0,0,199.9,3220.1
"1004",2006,2714.5,0,0,0,192.2,2906.7
"1004",2007,2711.8,0,0,0,196,2907.8
"1004",2008,2680.5,0,0,0,200.3,2880.8
"1004",2009,2847,0,0,0,184.5,3031.5
"1004",2010,2899.6,0,0,0,201.8,3101.4
"1004",2011,2930.7,0,0,0,195.6,3126.3
"1004",2012,2917.3,0,0,0,196.8,3114.1
"1004-B",2000,3332.5,0,0,0,244.6,3577.1
"1004-B",2001,3360.8,0,0,0,214.7,3575.5
"1005",2002,1690,0,0,0,123.6,1813.6
"1005",2003,1553.2,0,0,0,110.5,1663.7
"1005",2004,1458,0,0,0,100,1558
"1005",2005,1417.9,0,0,0,101.4,1519.3
"1005",2006,1297.9,0,0,0,105,1402.9
"1005",2007,1253.8,0,0,0,98.7,1352.5
"1005",2008,1308.5,0,0,0,96.2,1404.7
"1005",2009,1404.1,0,0,0,100.4,1504.5
"1005",2010,1338.9,0,0,0,99.2,1438.1
"1005",2011,1417.6,0,0,0,94,1511.6
"1005",2012,1398.4,0,0,0,99.3,1497.7
"1005-B",2000,1680.5,0,0,0,131.6,1812.1
"1005-B",2001,1696.6,0,0,0,124.1,1820.7
"1006",2002,2270.8,0,0,0,75,2345.8
"1006",2003,1917.5,0,0,0,49.4,1966.9
"1006",2004,1778,0,0,0,53.1,1831.1
"1006",2005,1610.2,0,0,0,86.5,1696.7
"1006",2006,1566.6,0,0,0,91.1,1657.7
"1006",2007,1577.6,0,0,0,93.1,1670.7
"1006",2008,1611,0,0,0,89.7,1700.7
"1006",2009,1661.3,0,0,0,79.5,1740.8
"1006",2010,1796.2,0,0,0,92.7,1888.9
"1006",2011,1683,0,0,0,44.7,1727.7
"1006",2012,1900.8,0,0,0,43.9,1944.7
"1006-B",2000,2525.8,0,0,0,77.8,2603.6
"1006-B",2001,2362.4,0,0,0,82.7,2445.1
"1007",2002,504.1,0,0,0,25.2,529.3
"1007",2003,485.1,0,0,0,50.2,535.3
"1007",2004,454,0,0,0,51.9,505.9
"1007",2005,508.8,0,0,0,0,508.8
"1007",2006,495.8,0,0,0,57.7,553.5
"1007",2007,489.2,0,0,0,53.8,543
"1007",2008,496.3,0,0,0,55.2,551.5
"1007",2009,505.6,0,0,0,95,600.6
"1007",2010,510.5,0,0,4.2,35.7,550.4
"1007",2011,517,0,0,3.7,29.5,550.2
"1007",2012,559.5,0,0,1.8,23.3,584.6
"1007-B",2000,547.2,0,0,0,0,547.2
"1008",2002,10298.6,0,0,0,527.7,10826.3
"1008",2003,10458.4,0,0,0,464.8,10923.2
"1008",2004,10644,0,0,0,407.4,11051.4
"1008",2005,9746.6,0,0,0,373.6,10120.2
"1008",2006,9552.2,0,0,0,373.4,9925.6
"1008",2007,10214.4,0,0,0,299.5,10513.9
"1008",2008,11741.4,0,0,0,308.8,12050.2
"1008",2009,11882.3,0,0,0,308.4,12190.7
"1008",2010,10484.9,0,0,0,317.7,10802.6
"1008",2011,10152.5,0,0,0,318.9,10471.4
"1008",2012,11171.7,0,0,0,316.2,11487.9
"1008-B",2000,2262.3,0,0,0,416.1,2678.4
"1008-B",2001,2497.4,0,0,0,462.7,2960.1
"1013",2002,1250.6,0,0,0,76.4,1327
"1013",2003,1354.8,0,0,0,66.7,1421.5
"1013",2004,1446.3,0,0,0,61.2,1507.5
"1013",2005,1603.3,0,0,0,58.7,1662
"1013",2006,1750.6,0,0,0,57.3,1807.9
"1013",2007,2014,0,0,0,46.7,2060.7
"1013",2008,2162.2,0,0,0,48.5,2210.7
"1013",2009,2627.1,0,0,0,63.4,2690.5
"1013",2010,2065.6,0,0,0,67.1,2132.7
"1013",2011,2230.8,0,0,0,68.1,2298.9
"1013",2012,2201.4,0,0,0,74.8,2276.2
"1013-B",2000,1667.4,0,0,0,76.6,1744
"1013-B",2001,1742.9,0,0,0,79.8,1822.7
"1014",2002,4690.5,0,0,0,308.5,4999
"1014",2003,3939.5,0,0,0,289.8,4229.3
"1014",2004,3521.4,0,0,0,269.6,3791
"1014",2005,2568,0,0,0,256.6,2824.6
"1014",2006,3157.5,0,0,0,274.2,3431.7
"1014",2007,3041.2,0,0,0,279.6,3320.8
"1014",2008,3102.4,0,0,0,260,3362.4
"1014",2009,3176,0,0,0,225.3,3401.3
"1014",2010,3283.8,0,0,66.5,142.9,3493.2
"1014",2011,3451,0,0,57.9,90.6,3599.5
"1014",2012,3791.5,0,0,49.5,97.9,3938.9
"1014-B",2000,4496,0,0,0,336.9,4832.9
"1014-B",2001,4522.3,0,0,0,318.7,4841
"1015",2008,230.9,0,0,0,8.2,239.1
"1015",2009,224.9,0,0,0,10,234.9
"1015",2010,239.1,0,0,0,9.3,248.4
"1015",2011,285.2,0,0,0,10.6,295.8
"1015",2012,350.6,0,0,0,9.8,360.4
"1016",2002,1306.1,0,0,0,0,1306.1
"1016",2003,1317.2,0,0,0,0,1317.2
"1016",2004,1347.7,0,0,0,0,1347.7
"1016",2005,1360,0,0,0,0,1360
"1016",2006,1379.4,0,0,0,0,1379.4
"1016",2007,1429.8,0,0,0,0,1429.8
"1016",2008,1501.2,0,0,0,0,1501.2
"1016",2009,1411.8,0,0,0,0,1411.8
"1016",2010,1440.2,0,0,0,0,1440.2
"1016",2011,1433.7,0,0,0,0,1433.7
"1016",2012,1465.9,0,0,0,0,1465.9
"1016-A",2000,1240,0,0,0,0,1240
"1016-A",2001,1284.3,0,0,0,0,1284.3
"1017",2002,0,0,0,0,485.6,485.6
"1017",2003,0,0,0,0,484.4,484.4
"1017",2004,0,0,0,0,491,491
"1017",2005,0,0,0,0,551.6,551.6
"1017",2006,249.4,0,0,0,560.2,809.6
"1017",2007,235.9,0,0,0,577.2,813.1
"1017",2008,258.6,0,0,0,593.1,851.7
"1017",2009,257.8,0,0,0,421.2,679
"1017",2010,209.5,0,0,0,400.9,610.4
"1017",2011,0,0,0,0,366.8,366.8
"1017",2012,0,0,0,0,326.3,326.3
"1017-B",2000,116.6,0,0,0,451.1,567.7
"1017-B",2001,82,0,0,0,454.4,536.4
"1040",2002,914.2,0,0,0,2.9,917.1
"1040",2003,914.6,0,0,0,2.3,916.9
"1040",2004,858.8,0,0,0,2.2,861
"1040",2005,932,0,0,0,2.2,934.2
"1040",2006,984.8,0,0,0,2,986.8
"1040",2007,1061,0,0,0,2.7,1063.7
"1040",2008,1158.8,0,0,0,2.9,1161.7
"1040",2009,1133.6,0,0,0,2.9,1136.5
"1040",2010,1036.9,0,0,0,2.9,1039.8
"1040",2011,1149.7,0,0,0,3.7,1153.4
"1040",2012,1269.6,0,0,0,4.4,1274
"1040-A",2001,952.2,0,0,0,0,952.2
"1042",2002,0,0,0,0,133,133
"1042",2003,0,0,0,0,129,129
"1042",2004,0,0,0,0,103,103
"1042",2005,0,0,0,0,100.7,100.7
"1042",2007,0,0,0,0,12.4,12.4
"1042",2008,0,0,0,0,89,89
"1042",2009,0,0,0,0,82.8,82.8
"1042",2010,0,0,0,0,81.1,81.1
"1042",2011,0,0,0,0,82.9,82.9
"1042",2012,0,0,0,0,83.2,83.2
"1042-A",2000,0,0,0,0,131.2,131.2
"1042-A",2001,0,0,0,0,131.6,131.6
"1045",2012,340.8,0,0,0,0,340.8
"1047",2002,568.5,0,0,0,0,568.5
"1047",2004,538.8,0,0,0,0,538.8
"1047",2006,566.1,0,0,0,0,566.1
"1047",2008,489,0,0,0,0,489
"1047",2009,522.9,0,0,0,0,522.9
"1047",2010,548.9,0,0,0,0,548.9
"1047-D",2000,442.3,0,0,0,0,442.3
"1047-D",2001,452.3,0,0,0,0,452.3
"1048",2002,17166.4,0,0,0,0,17166.4
"1048",2003,13549.5,0,0,0,0,13549.5
"1048",2004,12789.6,0,0,0,0,12789.6
"1048",2005,12508.7,0,0,0,0,12508.7
"1048",2006,12974.4,0,0,0,0,12974.4
"1048",2007,12718.3,0,0,0,0,12718.3
"1048",2008,13831.7,0,0,0,0,13831.7
"1048",2009,13578.4,0,0,0,0,13578.4
"1048",2010,13443,0,0,0,0,13443
"1048",2011,13896.9,0,0,0,0,13896.9
"1048",2012,14698.6,0,0,0,0,14698.6
"1048-D",2001,16846.9,0,0,0,0,16846.9
"1048-G",2000,17702,0,0,0,0,17702
"1049",2002,0,0,0,0,266.8,266.8
"1049",2003,68.8,0,0,0,258.6,327.4
"1049",2004,86.2,0,0,0,235.9,322.1
"1049",2005,93,0,0,0,248,341
"1049",2006,74.5,0,0,0,258.1,332.6
"1049",2007,67.5,0,0,0,288.1,355.6
"1049",2008,84.2,0,0,0,287.4,371.6
"1049",2009,27.5,0,0,0,270.9,298.4
"1049",2010,5.6,0,0,0,261,266.6
"1049",2011,4.8,0,0,0,272,276.8
"1049",2012,4.2,0,0,0,248.3,252.5
"1049-B",2000,0,0,0,0,198.8,198.8
"1049-B",2001,0,0,0,0,429.9,429.9
"1050",2002,5119.3,0,0,0,82.7,5202
"1050",2003,4567.4,0,0,0,78.1,4645.5
"1050",2004,4502.5,0,0,0,74.2,4576.7
"1050",2005,4706.9,0,0,0,77.6,4784.5
"1050",2006,4863.8,0,0,0,79.8,4943.6
"1050",2007,5086.5,0,0,0,79.4,5165.9
"1050",2008,5090,0,0,0,115.2,5205.2
"1050",2009,5302.6,0,0,0,88.2,5390.8
"1050",2010,5311.6,0,0,0,86.8,5398.4
"1050",2011,5557.1,0,0,0,96.3,5653.4
"1050",2012,5851.7,0,0,0,99.9,5951.6
"1050-B",2000,5157.7,0,0,0,84.3,5242
"1050-B",2001,5388,0,0,0,75.7,5463.7
"1051",2002,789.8,0,0,0,62.1,851.9
"1051",2003,807,0,0,0,59,866
"1051",2004,834.4,0,0,0,62.8,897.2
"1051",2005,773,0,0,0,62.2,835.2
"1051",2006,839.2,0,0,0,64.8,904
"1051",2007,853.4,0,0,0,70.7,924.1
"1051",2008,942.3,0,0,0,71.5,1013.8
"1051",2009,888,0,0,0,72.3,960.3
"1051",2010,823.6,0,0,0,66.3,889.9
"1051",2011,861.3,0,0,0,65.8,927.1
"1051",2012,903.1,0,0,0,66.1,969.2
"1051-A",2000,728.3,0,0,0,62.8,791.1
"1051-A",2001,762.5,0,0,0,62.8,825.3
"1052",2002,70.9,0,0,0,0,70.9
"1052",2004,46.2,0,0,0,0,46.2
"1052",2006,40.7,0,0,0,0,40.7
"1052-D",2000,64.6,0,0,0,0,64.6
"1052-D",2001,64.6,0,0,0,0,64.6
"1053",2002,365.4,0,0,0,42.2,407.6
"1053",2003,276.9,0,0,0,34.4,311.3
"1053",2004,253.2,0,0,0,33.5,286.7
"1053",2005,257,0,0,0,33,290
"1053",2006,262.6,0,0,0,33.3,295.9
"1053",2007,256.7,0,0,0,36.3,293
"1053",2008,241,0,0,0,36.6,277.6
"1053",2009,238.6,0,0,0,32.9,271.5
"1053",2010,205.7,0,0,0,33.3,239
"1053",2011,214.3,0,0,0,33,247.3
"1053",2012,207.7,0,0,0,36.2,243.9
"1053-B",2000,344.8,0,0,0,35.8,380.6
"1053-B",2001,374.2,0,0,0,39.8,414
"1055",2002,12379.6,0,0,0,0,12379.6
"1055",2003,7978.3,0,0,0,0,7978.3
"1055",2004,7710.8,0,0,0,0,7710.8
"1055",2005,7734.7,0,0,0,0,7734.7
"1055",2006,8425.4,0,0,0,0,8425.4
"1055",2007,8119.8,0,0,0,0,8119.8
"1055",2008,8598.3,0,0,0,0,8598.3
"1055",2009,8598.2,0,0,0,0,8598.2
"1055",2010,8724.8,0,0,0,0,8724.8
"1055",2011,8767.4,0,0,0,0,8767.4
"1055",2012,9454,0,0,0,0,9454
"1055-D",2001,11795,0,0,0,0,11795
"1055-G",2000,11893.4,0,0,0,0,11893.4
"1056",2002,3307.1,0,0,0,0,3307.1
"1056",2003,3197.7,0,0,0,0,3197.7
"1056",2004,3028.4,0,0,0,0,3028.4
"1056",2005,2809.7,0,0,0,0,2809.7
"1056",2006,2844.5,0,0,0,0,2844.5
"1056",2007,2893.6,0,0,0,0,2893.6
"1056",2008,3142.7,0,0,0,0,3142.7
"1056",2009,3341.7,0,0,0,0,3341.7
"1056",2010,3209.3,0,0,0,0,3209.3
"1056",2011,3412,0,0,0,0,3412
"1056",2012,3596.7,0,0,0,0,3596.7
"1056-D",2001,5077.7,0,0,0,0,5077.7
"1056-G",2000,3916,0,0,0,0,3916
"1057",2002,1975.7,0,0,0,64.4,2040.1
"1057",2003,1769.8,0,0,0,60.9,1830.7
"1057",2004,1690.7,0,0,0,87.1,1777.8
"1057",2005,1700.9,0,0,0,82.7,1783.6
"1057",2006,1836.9,0,0,0,82.6,1919.5
"1057",2007,1840.7,0,0,0,86,1926.7
"1057",2008,1931.7,0,0,0,85.7,2017.4
"1057",2009,1915.2,0,0,0,101.8,2017
"1057",2010,1906.2,0,0,0,100,2006.2
"1057",2011,1957.7,0,0,0,100.3,2058
"1057",2012,2007.7,0,0,0,109.1,2116.8
"1057-B",2000,1973.2,0,0,0,65.5,2038.7
"1057-B",2001,2125.7,0,0,0,65.1,2190.8
"1061",2002,619.2,0,0,0,348.8,968
"1061",2003,624.2,0,0,0,331.2,955.4
"1061",2004,640,0,0,0,364.6,1004.6
"1061",2005,617.1,0,0,0,541.6,1158.7
"1061",2006,645.7,0,0,0,348.9,994.6
"1061",2007,637.2,0,0,0,378.6,1015.8
"1061",2008,602.2,0,0,0,282.4,884.6
"1061",2009,604.1,0,0,0,396,1000.1
"1061",2010,581.6,0,0,5.2,385.5,972.3
"1061",2011,605.5,0,0,5.3,369,979.8
"1061",2012,671.4,0,0,5.8,401.3,1078.5
"1061-B",2000,768,0,0,0,757.5,1525.5
"1061-B",2001,690.8,0,0,0,474,1164.8
"1063",2002,331.6,0,0,0,39.7,371.3
"1063",2003,348.9,0,0,0,41.6,390.5
"1063",2004,331.4,0,0,0,28.2,359.6
"1063",2005,348.8,0,0,0,25.9,374.7
"1063",2006,374.7,0,0,0,24.1,398.8
"1063",2007,365.6,0,0,0,26.4,392
"1063",2008,415.8,0,0,0,29.2,445
"1063",2009,434.7,0,0,0,30.1,464.8
"1063",2010,373,0,0,0,24.9,397.9
"1063",2011,365.7,0,0,0,18.9,384.6
"1063",2012,388,0,0,0,23.9,411.9
"1063-B",2000,330.2,0,0,0,47.1,377.3
"1063-B",2001,337.6,0,0,0,37.7,375.3
"1064",2002,827.8,0,0,0,221.8,1049.6
"1064",2003,738.2,0,0,0,206.3,944.5
"1064",2004,746.2,0,0,0,175.3,921.5
"1064",2005,695.4,0,0,0,177.4,872.8
"1064",2006,677.6,0,0,0,184.8,862.4
"1064",2007,717.8,0,0,0,186.7,904.5
"1064",2008,746.3,0,0,0,188.8,935.1
"1064",2009,707.5,0,0,0,217.2,924.7
"1064",2010,754.5,0,0,0,220,974.5
"1064",2011,837.1,0,0,0,225,1062.1
"1064",2012,909,0,0,0,232.6,1141.6
"1064-B",2000,921.3,0,0,0,228,1149.3
"1064-B",2001,919.9,0,0,0,226.1,1146
"1066",2002,1609.7,0,0,0,23.3,1633
"1066",2003,1654.7,0,0,13.3,28.8,1696.8
"1066",2004,1799.8,0,0,0,31.7,1831.5
"1066",2005,1887.1,0,0,8.8,32.4,1928.3
"1066",2006,1942.2,0,0,10.2,52.3,2004.7
"1066",2007,2109.5,0,0,17.9,50.5,2177.9
"1066",2008,2233.5,0,0,19.4,36.7,2289.6
"1066",2009,2514.6,0,0,0,37.4,2552
"1066",2010,2455.7,0,0,0,43.2,2498.9
"1066",2011,2511.1,0,0,0,48.4,2559.5
"1066",2012,2700.6,0,0,0,54.6,2755.2
"1066-A",2000,1541,0,0,0,0,1541
"1066-B",2001,1580.5,0,0,0,18.2,1598.7
"1069",2002,0,0,0,0,179.7,179.7
"1069",2003,0,0,0,0,186.5,186.5
"1069",2004,0,0,0,0,191.6,191.6
"1069",2005,0,0,0,0,171.2,171.2
"1069",2006,0,0,0,0,164.4,164.4
"1069",2007,0,0,0,0,146.1,146.1
"1069",2008,0,0,0,0,146.4,146.4
"1069",2009,0,0,0,0,148.5,148.5
"1069",2010,0,0,0,0,148.9,148.9
"1069",2011,0,0,0,0,135.6,135.6
"1069",2012,0,0,0,0,154.1,154.1
"1069-D",2000,0,0,0,0,180.8,180.8
"1069-D",2001,0,0,0,0,175.8,175.8
"1086",2003,237.3,0,0,0,1.4,238.7
"1086",2004,294.2,0,0,0,1.7,295.9
"1086",2005,313.9,0,0,0,1.6,315.5
"1086",2006,352.9,0,0,0,1.5,354.4
"1086",2007,374.4,0,0,0,1.1,375.5
"1086",2008,397.5,0,0,0,1.8,399.3
"1086",2009,367.1,0,0,0,3,370.1
"1086",2010,411.1,0,0,0,4.8,415.9
"1086",2011,452.2,0,0,0,7.4,459.6
"1086",2012,477.2,0,0,0,12.1,489.3
"1087",2002,265.9,0,0,0,44.5,310.4
"1087",2003,270.2,0,0,0,46,316.2
"1087",2004,281.5,0,0,0,39,320.5
"1087",2005,315.5,0,0,0,38.3,353.8
"1087",2006,348,0,0,0,38.9,386.9
"1087",2007,350.7,0,0,0,39.5,390.2
"1087",2008,381.1,0,0,0,35,416.1
"1087",2009,437.9,0,0,0,28.8,466.7
"1087",2010,445.1,0,0,0,26.1,471.2
"1087",2011,470.1,0,0,0,25.2,495.3
"1087",2012,495.6,0,0,0,21.7,517.3
"1087-B",2000,257.9,0,0,0,50.7,308.6
"1087-B",2001,254.9,0,0,0,48.2,303.1
"1088",2002,0,0,0,0,972.3,972.3
"1088",2003,0,0,0,0,893.3,893.3
"1088",2004,0,0,0,0,861.4,861.4
"1088",2005,0,0,0,0,852.8,852.8
"1088",2006,0,0,0,0,869.7,869.7
"1088",2007,0,0,0,0,910.5,910.5
"1088",2008,0,0,0,0,266.8,266.8
"1088",2009,0,0,0,0,857.2,857.2
"1088",2010,0,0,0,0,847.1,847.1
"1088",2011,0,0,0,0,903.8,903.8
"1088",2012,0,0,0,0,939.7,939.7
"1088-A",2000,0,0,0,0,941.3,941.3
"1088-A",2001,0,0,0,0,931.1,931.1
"1089-D",2000,9487,0,0,0,0,9487
"1089-D",2001,8283.7,0,0,0,0,8283.7
"1095",2002,1788.1,0,0,0,88.4,1876.5
"1095",2003,1792.4,0,0,0,90.6,1883
"1095",2004,1798.8,0,0,0,95.7,1894.5
"1095",2005,1806.4,0,0,0,98.1,1904.5
"1095",2006,1799.5,0,0,0,93.7,1893.2
"1095",2007,1822.1,0,0,0,92.8,1914.9
"1095",2008,2620.6,0,0,0,110.3,2730.9
"1095",2009,2625.2,0,0,0,125.7,2750.9
"1095",2010,2648.4,0,0,0,124.9,2773.3
"1095-D",2000,1881.6,0,0,0,12.8,1894.4
"1095-D",2001,1896.3,0,0,0,92.1,1988.4
"1096",2002,520.1,0,0,0,0.6,520.7
"1096",2003,552,0,0,0,0.6,552.6
"1096",2004,589.6,0,0,0,0.5,590.1
"1096",2005,681.2,0,0,0,0.3,681.5
"1096",2006,747.1,0,0,0,2.7,749.8
"1096",2007,780.3,0,0,0,7.5,787.8
"1096",2008,814.6,0,0,0,9.7,824.3
"1096",2009,870,0,0,0,12.3,882.3
"1096",2010,890.5,0,0,6.8,3.4,900.7
"1096",2011,875.5,0,0,7.2,3.9,886.6
"1096",2012,1010.3,0,0,7.8,4.9,1023
"1096-B",2000,411.7,0,0,0,0.1,411.8
"1096-B",2001,468.1,0,0,0,0.2,468.3
"1098",2002,122.2,0,0,0,132.2,254.4
"1098",2003,130.6,0,0,0,151.2,281.8
"1098",2004,169,0,0,0,122.6,291.6
"1098",2005,198.5,0,0,0,132.8,331.3
"1098",2006,214.8,0,0,0,147.9,362.7
"1098",2007,200.9,0,0,0,156,356.9
"1098",2010,161.7,0,0,0,211.2,372.9
"1098",2011,179.5,0,0,0,108.1,287.6
"1098",2012,161.6,0,0,0,102,263.6
"1098-G",2000,123.5,0,0,0,97.1,220.6
"1098-G",2001,120.5,0,0,0,92.5,213
"1099",2012,0,0,0,0,440.1,440.1
"11",2002,1128.7,0,0,0,31.1,1159.8
"11",2003,1156.7,0,0,0,34.7,1191.4
"11",2004,1073.1,0,0,0,38.5,1111.6
"11",2005,1070.7,0,0,0,38,1108.7
"11",2006,1052.4,0,0,0,38.3,1090.7
"11",2007,1060.3,0,0,0,39,1099.3
"11",2008,1245.3,0,0,0,47.2,1292.5
"11",2009,1405.6,0,0,0,39.1,1444.7
"11",2010,1375.6,0,0,0,42.7,1418.3
"11",2011,1630,0,0,0,39.5,1669.5
"11",2012,1496.9,0,0,0,46.8,1543.7
"1102",2002,183.1,0,294.9,0,0,478
"1102",2003,189.1,0,378,0,0,567.1
"1102",2004,197.4,0,398.9,0,0,596.3
"1102",2005,193.4,0,407.4,0,0,600.8
"1102",2006,208.8,0,445.6,0,0,654.4
"1102",2007,852.2,0,466.4,0,0,1318.6
"1102",2008,196.7,0,506.5,0,0,703.2
"1102",2009,201.5,0,593.7,0,0,795.2
"1102",2010,181,0,557.6,0,0,738.6
"1102",2011,180.2,0,601.7,0,0,781.9
"1102",2012,226.7,0,624.2,0,0,850.9
"1102-C",2000,166.7,0,285.5,0,0,452.2
"1102-C",2001,175.7,0,288.8,0,0,464.5
"1104-B",2000,0,0,0,0,77.4,77.4
"1105",2002,357.3,0,0,0,431.5,788.8
"1105",2003,323,0,0,0,330.1,653.1
"1105",2004,292,0,0,0,313.7,605.7
"1105",2005,279.6,0,0,0,323,602.6
"1105",2006,311.3,0,0,0,389.8,701.1
"1105",2007,419.2,0,0,0,359.2,778.4
"1105",2008,428.6,0,0,0,369.2,797.8
"1105",2009,409.6,0,0,0,390.7,800.3
"1105",2010,485.6,0,0,0,385,870.6
"1105",2011,581.8,0,0,0,418,999.8
"1105",2012,548,0,0,55.9,396.1,1000
"1105-B",2000,217.4,0,0,0,712.1,929.5
"1105-B",2001,276.5,0,0,0,257.6,534.1
"1107",2002,335.5,0,0,0,66.5,402
"1107",2003,318.2,0,0,0,69.3,387.5
